Year,Age,Actor,Sex,Film,nominations,rating,duration,genre1,genre2,release,synopsis
1941,40,Gary Cooper,M,Sergeant York,11,7.8,134,Biography,Drama,September,A hillbilly sharpshooter drafted in WW1 despite his claim to be a pacifist who ends up becoming a war hero.
1941,24,Joan Fontaine,F,Suspicion,3,7.5,99,Mystery,Thriller,November,A shy young heiress marries a charming gentleman and soon begins to suspect he is planning to murder her.
1942,43,James Cagney,M,Yankee Doodle Dandy,8,7.8,126,Biography,Drama,June,A film of the life of the renowned musical composer playwright actor dancer and singer George M. Cohan.
1942,39,Greer Garson,F,Mrs Miniver,12,7.6,134,Drama,Romance,December,A British family struggles to survive the first months of World War II.
1943,48,Paul Lukas,M,Watch on the Rhine,4,7.4,114,Drama,,August,Sara and Kurt Muller and their three children are returning to her mothers home in Washington DC after 18 years in Europe. A Romanian Count living there discovers Kurts attache case full ...                See full summary »
1943,24,Jennifer Jones,F,The Song of Bernadette,12,7.7,156,Biography,Drama,April,"In 1858 France Bernadette an adolescent peasant girl has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this but the townspeople all ...                See full summary »"
1944,41,Bing Crosby,M,Going My Way,10,7.3,126,Comedy,Drama,October,Youthful Father Chuck OMalley led a colorful life of sports song and romance before joining the Roman Catholic clergy but his level gaze and twinkling eyes make it clear that he knows ...                See full summary »
1944,29,Ingrid Bergman,F,Gaslight,7,7.9,114,Crime,Drama,May,Years after her aunt was murdered in her home a young woman moves back into the house with her new husband. However he has a secret that he will do anything to protect even if it means driving his wife insane.
1945,38,Ray Milland,M,The Lost Weekend,7,8,101,Drama,Film-Noir,November,The desperate life of a chronic alcoholic is followed through a four day drinking bout.
1945,37,Joan Crawford,F,Mildred Pierce,6,8,111,Crime,Drama,,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
1946,49,Fredric March,M,Best Years of Our Lives,8,8.2,172,Drama,Romance,June,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.
1946,30,Olivia de Havilland,F,To Each His Own,2,7.8,122,Drama,Romance,March,An unwed mother forced to give up her child to avoid scandal follows her sons life from afar even as she prospers in business.
1947,56,Ronald Coleman,M,A Double Life,4,7.1,104,Crime,Drama,,Anthony John is an actor whose life is strongly influenced by the characters he plays. When hes playing comedy hes the most enjoyable person in the world but when hes playing drama ...                See full summary »
1947,34,Loretta Young,F,The Farmer's Daughter,2,7.4,97,Drama,Romance,March,Katie Holstrom leaves the farm to become a nurse but is sidetracked into domestic service romance and politics.
1948,41,Laurence Olivier,M,Hamlet,7,7.9,155,Drama,,August,Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.
1948,34,Jane Wyman,F,Johnny Belinda,12,7.8,102,Drama,,September,In post-war Cape Breton a doctors efforts to tutor a deaf/mute woman are undermined when she is raped and the resulting pregnancy causes scandal to swirl.
1949,38,Broderick Crawford,M,All the King's Men,7,7.6,110,Drama,,January,The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.
1949,33,Olivia de Havilland,F,The Heiress,8,8.3,115,Drama,Romance,February,A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.
1950,38,Jose Ferrer,M,Cyrano Bergerac,,7.6,112,Drama,Romance,November,The charismatic swordsman-poet helps another woo the woman he loves in this straightforward version of the play.
1950,28,Judy Holliday,F,Born Yesterday,5,7.6,103,Comedy,Drama,May,A million dollar Tycoon hires a tutor to teach his lover proper etiquette.
1951,52,Humphrey Bogart,M,The African Queen,4,7.9,105,Adventure,Drama,February,In Africa during WWI a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.
1951,38,Vivien Leigh,F,A Streetcar Named Desire,12,8.1,122,Drama,,December,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
1952,51,Gary Cooper,M,High Noon,7,8.1,85,Action,Drama,July,A marshall personally compelled to face a returning deadly enemy finds that his own town refuses to help him.
1952,45,Shirley Booth,F,Come Back. Little Sheba,3,7.8,99,Drama,Romance,December,An emotionally remote recovering alcoholic and his dowdy unambitious wife face a personal crisis when they take in an attractive lodger.
1953,35,William Holden,M,Stalag 17,3,8.1,120,Comedy,Drama,August,When two escaping American World War II prisoners are killed the German POW camp barracks black marketeer J.J. Sefton is suspected of being an informer.
1953,24,Audrey Hepburn,F,Roman Holiday,10,8.1,118,Comedy,Romance,September,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
1954,30,Marlon Brando,M,On The Waterfront,12,8.3,108,Crime,Drama,June,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
1954,26,Grace Kelly,F,The Country Girl,7,7.3,104,Drama,Music,May,A director hires an alcoholic has-been and strikes up a stormy relationship with the actors wife who he believes is the cause of all the mans problems.
1955,38,Ernist Borgnine,M,Marty,8,7.7,90,Drama,Romance,June,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall in love.
1955,47,Anna Magnani,F,The Rose Tattoo,8,7.2,117,Comedy,Drama,,An Italian-American neighborhood in Louisiana is disturbed when truck driver Rosario Delle Rose is killed by police while smuggling. His buxom widow Serafina miscarries then over a period ...                See full summary »
1956,36,Yul Brenner,M,The King And I,9,7.5,133,Biography,Drama,June,A widow accepts a job as a live-in governess to the King of Siams children.
1956,41,Ingrid Bergman,F,Anastasia,2,7.2,105,Biography,Drama,December,An opportunistic Russian businessman tries to pass a mysterious impostor as the Grand Duchess Anastasia. But she is so convincing in her performance that even the biggest skeptics believe her.
1957,43,Alec Guiness,M,Bridge on River Kwai,8,8.2,161,Adventure,Drama,October,After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.
1957,27,Joanne Woodward,F,Three Faces of Eve,,7.2,91,Drama,Mystery,September,A doctor treats a woman suffering from Multiple Personality Disorder.
1958,48,David Niven,M,Separate Tables,7,7.6,100,Drama,Romance,February,"The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables."""
1958,39,Susan Hayward,F,I Want To Live!,6,7.5,120,Biography,Crime,November,A prostitute sentenced to death for murder pleads her innocence.
1959,35,Charlton Heston,M,Ben-Hur,12,8.1,212,Adventure,Drama,December,When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.
1959,38,Simone Signoret,F,Room at the Top,6,7.7,117,Drama,Romance,January,An ambitious young accountant schemes to wed a wealthy factory owners daughter despite falling in love with a married older woman.
1960,47,Burt Lancaster,M,Elmer Gantry,5,7.9,146,Drama,,July,A fast-talking traveling salesman with a charming loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.
1960,28,Elizabeth Taylor,F,Butterfield 8,2,6.4,109,Drama,,November,The romantic life of a fashionable Manhattan beauty whos part model part call-girl--and all man-trap.
1961,31,Maximilian Schell,M,Judgment at Nuremberg,11,8.3,186,Drama,History,December,In 1948 an American court in occupied Germany tries four Nazi judges for war crimes.
1961,27,Sophia Loren,F,Two Women,,7.9,100,Drama,War,December,In the Italy of WWII a widow and her lonely daughter seek for distance between them and the horrors of war.
1962,46,Gregory Peck,M,To Kill a Mockingbird,8,8.4,129,Drama,,March,Atticus Finch a lawyer in the Depression-era South defends a black man against an undeserved rape charge and his kids against prejudice.
1962,31,Anne Bancroft,F,The Miracle Worker,5,8.1,106,Biography,Drama,July,The story of Anne Sullivans struggle to teach the blind and deaf Helen Keller how to communicate.
1963,39,Sidney Pointier,M,Lilies of the Field,5,7.7,94,Drama,,July,A traveling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.
1963,37,Patricia Neal,F,Hud,7,7.9,112,Drama,,May,Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth out for kicks with no regard for the ...                See full summary »
1964,56,Rex Harrison,M,My Fair Lady,12,7.9,170,Drama,Family,December,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
1964,30,Julie Andrews,F,Mary Poppins,13,7.8,139,Comedy,Family,September,A magic nanny comes to work for a cold bankers unhappy family.
1965,41,Lee Marvin,M,Act Ballou,5,6.9,97,Comedy,Western,June,A woman seeking revenge for her murdered father hires a famous gunman but hes very different from what she expects.
1965,24,Julie Christie,F,Darling,5,7.2,128,Drama,Romance,September,A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.
1966,44,Paul Scofield,M,A Man For All Seasons,8,7.9,120,Biography,Drama,May,The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.
1966,34,Elizabeth Taylor,F,Who's Afraid of Virginia Woolf?,13,8.1,131,Drama,,June,A bitter aging couple with the help of alcohol use a young couple to fuel anguish and emotional pain towards each other.
1967,42,Rod Steiger,M,In the Heat of The Night,7,8,109,Crime,Drama,October,An African American police detective is asked to investigate a murder in a racially hostile southern town.
1967,60,Katherine Hepburn,F,Guess Who's Coming To Dinner,10,7.8,108,Comedy,Drama,December,A couples attitudes are challenged when their daughter introduces them to her African-American fiancé.
1968,43,Cliff Robertson,M,Charly,,7.1,103,Drama,Sci-Fi,September,An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.
1968,44,K. Hepburn(61)/B. Streisand(26)*,F,The Lion in Winter/Funny Girl,7,8.2,134,Biography,Drama,October,1183 AD: King Henry IIs three sons all want to inherit the throne but he wont commit to a choice. They and his wife variously plot to force him.
1969,62,John Wayne,M,True Grit,2,7.7,110,Adventure,Drama,December,A tough U.S. Marshal helps a stubborn teenager track down her fathers murderer.
1969,35,Maggie Smith,F,The Prime of Miss Jean Brodie,2,7.7,116,Drama,,June,A headstrong young teacher in a private school in 1930s Edinburgh ignores the curriculum and influences her impressionable 12 year old charges with her over-romanticized world view.
1970,43,George C Scott,M,Patton,10,8,172,Biography,Drama,April,The World War II phase of the career of the controversial American general George S. Patton.
1970,34,Glenda Jackson,F,Women in Love,4,7.6,131,Drama,Romance,September,The battle of the sexes and relationships among the elite of Britians industrial Midlands in the 1920s. Gerald Crich and Rupert Berkin are best friends who fall in love with a pair of ...                See full summary »
1971,40,Gene Hackman,M,The French Connection,8,7.8,104,Action,Crime,October,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
1971,34,Jane Fonda,F,Klute,2,7.2,114,Crime,Mystery,June,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.
1972,48,Marlon Brando,M,The Godfather,11,9.2,175,Crime,Drama,March,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
1972,26,Liza Minnelli,F,Cabaret,10,7.9,124,Drama,Musical,February,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
1973,48,Jack Lemmon,M,Save The Tiger,3,6.9,100,Drama,,July,A businessmans professional struggles begin to conflict with his personal life over the course of two days.
1973,37,Glenda Jackson,F,A Touch of Class,5,6.5,106,Comedy,Romance,August,Romantic comedy about a pair of clandestine lovers in a London-Spain tryst.
1974,56,Art Carney,M,Harry and Tonto,2,7.5,115,Adventure,Comedy,January,When his apartment building is torn down a retired lifelong New Yorker goes on a cross country odyssey with his beloved cat Tonto.
1974,42,Ellen Burstyn,F,Alice Doesn't Live Here Anymore,3,7.4,112,Drama,Romance,May,A recently widowed woman is on the road with her precocious young son determined to make a new life for herself as a singer.
1975,38,Jack Nicholson,M,Cuckoo's Nest,9,8.7,133,Drama,,November,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
1975,41,Louise Fletcher,F,Cuckoo's Nest,9,8.7,133,Drama,,November,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
1976,60,Peter Finch,M,Network,10,8.1,121,Drama,,November,A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.
1976,35,Faye Dunaway,F,Network,10,8.1,121,Drama,,November,A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.
1977,30,Richard Dreyfuss,M,The Goodbye Girl,5,7.4,111,Comedy,Drama,February,After being dumped by her live-in boyfriend an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.
1977,31,Diane Keaton,F,Annie Hall,5,8.1,93,Comedy,Romance,April,Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.
1978,40,Jon Voight,M,Coming Home,8,7.3,127,Drama,Romance,February,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
1978,41,Jane Fonda,F,Coming Home,8,7.3,127,Drama,Romance,February,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.
1979,42,Dustin Hoffman,M,Kramer vs. Kramer,9,7.8,105,Drama,,December,Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.
1979,33,Sally Field,F,Norma Rae,4,7.4,114,Drama,,March,A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.
1980,37,Robert De Niro,M,Raging Bull,8,8.3,129,Biography,Drama,December,An emotionally self-destructive boxers journey through life as the violence and temper that leads him to the top in the ring destroys his life outside it.
1980,30,Sissy Spacek,F,Coal Miner's Daughter,7,7.5,124,Biography,Drama,March,Biographical story of Loretta Lynn a legendary country singer that came from poverty to worldwide fame. She rose from humble beginnings in Kentucky to superstardom and changing the sound and style of country music forever.
1981,76,Henry Fonda,M,On Golden Pond,10,7.7,109,Drama,,February,Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.
1981,74,Katherine Hepburn,F,On Golden Pond,10,7.7,109,Drama,,February,Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.
1982,39,Ben Kingsly,M,Gandhi,11,8.1,191,Biography,Drama,December,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
1982,33,Meryl Streep,F,Sophie's Choice,5,7.7,150,Drama,Romance,December,After spending time with his new neighbors an aspiring writer realizes they are harboring deep secrets that will forever change him.
1983,52,Robert Duvall,M,Tender Mercies,5,7.5,92,Drama,Music,June,A broken-down middle-aged country singer gets a new wife reaches out to his long-lost daughter and tries to put his troubled life back together.
1983,49,Shirley MacLaine,F,Terms of Endearment,11,7.4,132,Comedy,Drama,December,Follows hard-to-please Aurora looking for love and her daughters family problems.
1984,45,F. Murray Abraham,M,Amadeus,11,8.3,160,Biography,Drama,October,The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.
1984,38,Sally Field,F,Places in the Heart,7,7.3,111,Drama,,October,In 1930s Southern US a widow and her family try to run their cotton farm with the help of a disparate group of friends.
1985,35,William Hurt,M,Kiss of the Spider,4,7.4,120,Drama,Romance,July,Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis a trans individual is found guilty of immoral behavior and Valentin is a political prisoner. To escape ...                See full summary »
1985,61,Geraldine Page,F,Trip to Bountiful,2,7.6,108,Drama,,January,In 1940s Texas an elderly woman is determined to visit her childhood home for one last time.
1986,61,Paul Newman,M,The Colour of Money,4,7,119,Drama,Sport,October,Fast Eddie Felson teaches a cocky but immensely talented protégé the ropes of pool hustling which in turn inspires him to make an unlikely comeback.
1986,21,Marlee Matlin,F,Children of a Lesser God,5,7.2,119,Drama,Romance,October,James is a new speech teacher at a school for the deaf. He falls for Sarah a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first ...                See full summary »
1987,43,Michael Douglas,M,Wall Street,,7.4,126,Crime,Drama,December,A young and impatient stockbroker is willing to do anything to get to the top including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.
1987,41,Cher,F,Moonstruck,6,7.1,102,Comedy,Drama,January,Loretta Castorini a book keeper from Brooklyn New York finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.
1988,51,Dustin Hoffman,M,Rain Man,8,8,133,Drama,,December,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie
1988,26,Jodie Foster,F,The Accused,,7.1,111,Crime,Drama,October,After a young woman suffers a brutal rape in a bar one night a prosecutor assists in bringing the perpetrators to justice including the ones who encouraged and cheered on the attack.
1989,32,Daniel Day-Lewis,M,My Left Foot,5,7.9,103,Biography,Drama,April,Christy Brown born with cerebral palsy learns to paint and write with his only controllable limb - his left foot.
1989,81,Jessica Tandy,F,Driving Miss Daisy,9,7.4,99,Comedy,Drama,January,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
1990,42,Jeremy Irons,M,Reversal of Fortune,3,7.3,111,Biography,Drama,November,Wealthy Sunny von Bülow lies brain-dead husband Claus guilty of attempted murder
1990,42,Kathy Bates,F,Misery,,7.8,107,Thriller,,November,After a famous author is rescued from a car crash by a fan of his novels he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.
1991,54,Anthony Hopkins,M,Silence of the Lambs,7,8.6,118,Crime,Drama,February,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
1991,29,Jodie Foster,F,The Silence of the Lambs,7,8.6,118,Crime,Drama,February,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
1992,52,Al Pacino,M,Scent of a Woman,4,8,156,Drama,,January,"A prep school student needing money agrees to ""babysit"" a blind man but the job is not at all what he anticipated."
1992,33,Emma Thompson,F,Howards End,9,7.5,140,Drama,Romance,May,A businessman thwarts his wifes bequest of an estate to another woman.
1993,37,Tom Hanks,M,Philadelphia,5,7.7,125,Drama,,January,When a man with AIDS is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.
1993,35,Holly Hunter,F,The Piano,8,7.6,121,Drama,Music,November,A mute woman along with her young daughter and her prized piano are sent to 1850s New Zealand for an arranged marriage to a wealthy landowner and shes soon lusted after by a local worker on the plantation.
1994,38,Tom Hanks,M,Forrest Gump,13,8.8,142,Drama,Romance,July,Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.
1994,45,Jessica Lang,F,Blue Sky,,6.4,101,Drama,Romance,September,Jessica Lange stars in a period drama about a family moving to a military base and she quickly becomes part of a cover-up involving nuclear bomb tests.
1995,31,Nicolas Cage,M,Leaving Las Vegas,4,7.6,111,Drama,Romance,February,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
1995,49,Susan Sarandon,F,Dead Man Walking,4,7.6,122,Crime,Drama,February,A nun while comforting a convicted killer on death row empathizes with both the killer and his victims families.
1996,45,Geoffry Rush,M,Shine,7,7.7,105,Biography,Drama,December,Pianist David Helfgott driven by his father and teachers has a breakdown. Years later he returns to the piano to popular if not critical acclaim.
1996,39,Frances McDormand,F,Fargo,7,8.2,98,Crime,Drama,April,Jerry Lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant Marge Gunderson.
1997,60,Jack Nicholson,M,As Good As It Gets,7,7.7,139,Comedy,Drama,December,A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.
1997,32,Helen Hunt,F,As Good As It Gets,7,7.7,139,Comedy,Drama,December,A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.
1998,46,Robert Benigni,M,Life is Beautiful,7,8.6,116,Comedy,Drama,November,When an open-minded Jewish librarian and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp.
1998,26,Gwyneth Paltrow,F,Shakespeare In Love,13,7.2,123,Comedy,Drama,December,A young Shakespeare out of ideas and short of cash meets his ideal woman and is inspired to write one of his most famous plays.
1999,40,Kevin Spacey,M,American Beauty,8,8.4,122,Drama,Romance,October,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.
1999,25,Hillary Swank,F,Boys Don't Cry,2,7.6,118,Biography,Drama,October,Female born Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.
2000,36,Russel Crowe,M,Galdiator,12,8.5,155,Action,Drama,May,When a Roman general is betrayed and his family murdered by an emperors corrupt son he comes to Rome as a gladiator to seek revenge.
2000,33,Julia Roberts,F,Erin Brockovich,5,7.3,131,Biography,Drama,March,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a citys water supply.
2001,47,Denzel Washington,M,Training Day,2,7.7,122,Crime,Drama,October,On his first day on the job as a Los Angeles narcotics officer a rookie cop goes on a 24-hour training course with a rogue detective who isnt what he appears.
2001,35,Halle Berry,F,Monster's Ball,2,7.1,111,Drama,Romance,February,After a family tragedy a racist prison guard reexamines his attitudes while falling in love with the African American wife of the last prisoner he executed.
2002,29,Adrien Brody,M,The Pianist,7,8.5,150,Biography,Drama,January,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
2002,35,Nicole Kidman,F,The Hours,9,7.6,114,Drama,,January,"The story of how the novel ""Mrs. Dalloway"" affects three generations of women all of whom in one way or another have had to deal with suicide in their lives."
2003,43,Sean Penn,M,Mystic River,6,8,138,Crime,Drama,October,With a childhood tragedy that overshadowed their lives three men are reunited by circumstance when one has a family tragedy.
2003,28,Charlize Theron,F,Monster,,7.3,109,Biography,Crime,January,Based on the life of Aileen Wuornos a Daytona Beach prostitute who became a serial killer.
2004,37,Jamie Foxx,M,Ray,6,7.7,152,Biography,Drama,October,The story of the life and career of the legendary rhythm and blues musician Ray Charles from his humble beginnings in the South where he went blind at age seven to his meteoric rise to stardom during the 1950s and 1960s.
2004,30,Hillary Swank,F,Million Dollar Baby,7,8.1,132,Drama,Sport,January,A determined woman works with a hardened boxing trainer to become a professional.
2005,38,Philip Seymour Hoffman,M,Capote,5,7.4,114,Biography,Crime,February,In 1959 Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood Capote forms a relationship with one of the killers Perry Smith who is on death row.
2005,29,Reese Witherspoon,F,Walk The Line,5,7.9,136,Biography,Drama,November,A chronicle of country music legend Johnny Cashs life from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis where he recorded alongside Elvis Presley Jerry Lee Lewis and Carl Perkins.
2006,45,Forest Whitaker,M,Last King of Scotland,,7.7,121,Biography,Drama,January,Based on the events of the brutal Ugandan dictator Idi Amins regime as seen by his personal physician during the 1970s
2006,61,Helen Mirren,F,The Queen,6,7.4,103,Biography,Drama,October,After the death of Princess Diana Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.
2007,51,Daniel Day-Lewis,M,There Will Be Blood,8,8.1,158,Drama,,January,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.
