feature1,feature2,target
-0.04,0.43,1.00
-0.60,0.22,1.00
0.30,0.08,1.00
-0.19,-1.15,0.00
-0.31,-0.91,0.00
-0.84,-0.74,0.00
0.12,0.31,1.00
0.23,0.18,1.00
0.80,-0.48,0.00
0.30,-0.02,1.00
0.12,0.11,1.00
0.20,-0.25,1.00
0.05,0.11,1.00
0.61,0.66,0.00
0.25,-0.81,0.00
-0.18,-0.91,0.00
-0.26,0.90,0.00
-0.41,0.90,0.00
0.64,0.93,0.00
0.29,0.06,1.00
-0.86,-0.28,0.00
-0.11,0.47,1.00
0.48,-0.88,0.00
