# feature1,feature2,target
-1.43,-1.67,0.00
2.09,1.48,3.00
0.09,1.92,3.00
0.79,-1.81,1.00
2.08,-2.13,1.00
0.64,-1.76,1.00
-3.00,2.62,2.00
-1.87,-3.33,0.00
-1.60,-1.71,0.00
1.50,-1.50,1.00
-1.48,-2.20,0.00
2.51,1.10,3.00
-1.44,-1.43,0.00
1.52,-1.64,1.00
-0.55,0.69,2.00
3.63,1.18,3.00
1.32,-2.02,1.00
-1.84,-3.25,0.00
-2.21,2.00,2.00
-1.72,-1.23,0.00
2.01,-2.10,1.00
0.80,-1.15,1.00
-1.41,-1.86,0.00
-2.40,1.99,2.00
-1.18,-1.40,0.00
1.05,1.31,3.00
-0.75,0.88,2.00
1.39,1.17,3.00
1.57,-2.16,1.00
-3.02,2.82,2.00
1.19,2.11,3.00
-2.41,2.30,2.00
2.12,-2.41,1.00
1.31,1.11,3.00
-1.67,-0.21,0.00
2.40,-1.78,1.00
-1.15,-0.60,0.00
2.14,0.85,3.00
-2.62,2.49,2.00
1.96,-1.69,1.00
1.47,1.98,3.00
-1.31,-0.19,0.00
-0.95,1.00,2.00
1.31,-0.93,1.00
1.01,-2.07,1.00
-1.60,-1.46,0.00
0.10,0.20,2.00
-1.58,-1.31,0.00
1.31,-1.93,1.00
-1.60,-1.46,0.00
-0.84,1.00,2.00
-0.23,1.06,3.00
1.61,-2.19,1.00
1.11,-0.63,1.00
0.18,1.72,3.00
-2.72,2.33,2.00
1.22,1.66,3.00
-0.69,0.92,2.00
2.63,0.78,3.00
-0.18,0.71,3.00
1.37,1.31,3.00
1.34,-1.84,1.00
-0.23,1.03,3.00
1.37,-1.53,1.00
2.06,1.77,3.00
-0.24,0.67,2.00
1.43,-1.54,1.00
-2.26,2.08,2.00
-2.10,2.07,2.00
0.31,1.69,3.00
0.90,-1.41,1.00
1.15,-0.27,1.00
2.97,1.96,3.00
0.79,-1.79,1.00
-1.58,-0.44,0.00
1.78,-0.62,1.00
0.91,1.50,3.00
0.65,1.50,3.00
-0.39,1.92,3.00
-1.39,-2.20,0.00
1.02,-0.61,1.00
1.27,-1.56,1.00
1.46,1.38,3.00
-1.51,-1.16,0.00
0.89,1.17,3.00
1.56,-1.05,1.00
2.80,1.43,3.00
-1.00,1.87,3.00
-0.52,0.82,2.00
-0.56,0.90,2.00
0.61,1.10,3.00
2.17,-1.98,1.00
-1.43,-1.55,0.00
-1.58,-1.72,0.00
2.16,-1.45,1.00
1.58,1.78,3.00
-1.57,-2.10,0.00
0.53,-1.25,1.00
1.30,2.30,3.00
-2.26,2.16,2.00
-1.36,-1.55,0.00
-3.12,2.79,2.00
-1.14,1.18,2.00
-1.53,-2.15,0.00
3.00,1.76,3.00
-2.42,2.10,2.00
2.23,-1.73,1.00
1.43,2.32,3.00
-1.57,-2.14,0.00
-3.03,2.71,2.00
2.00,-1.57,1.00
-2.76,2.48,2.00
0.04,2.20,3.00
2.31,-2.54,1.00
2.18,1.16,3.00
1.44,-1.54,1.00
1.40,-0.76,1.00
-1.29,1.39,2.00
-1.70,1.46,0.00
-0.12,0.31,2.00
-1.25,1.31,2.00
-0.93,1.22,2.00
-2.46,2.14,2.00
-1.61,-0.18,0.00
0.09,1.62,3.00
0.01,0.39,2.00
-1.07,1.19,2.00
-1.79,-2.46,0.00
-1.88,-1.52,0.00
-1.55,-2.15,0.00
1.74,-1.48,1.00
-1.41,-2.97,0.00
-1.08,-1.57,0.00
-0.36,0.50,2.00
-1.76,-1.69,0.00
1.95,-1.74,1.00
-0.33,1.90,3.00
-1.18,1.31,2.00
-1.25,-2.60,0.00
1.85,-2.09,1.00
1.65,1.35,3.00
0.16,0.09,2.00
-1.81,-3.29,0.00
-2.48,2.13,2.00
1.52,-0.79,1.00
-1.21,-1.43,0.00
-1.58,-2.68,0.00
-1.87,1.77,2.00
-1.48,0.41,0.00
2.05,-1.63,1.00
-1.40,-0.91,0.00
-1.83,-1.88,0.00
-1.16,1.19,2.00
6.23,-2.22,5.00
6.41,-1.75,5.00
5.19,-1.24,4.00
3.46,-1.63,4.00
5.42,-2.61,5.00
3.60,-1.64,4.00
5.39,-2.35,5.00
6.18,-2.34,5.00
4.83,-2.25,5.00
4.68,-1.73,5.00
5.49,-2.70,5.00
3.46,-1.70,4.00
5.93,-2.25,5.00
3.79,-1.36,4.00
5.42,-1.52,4.00
4.99,-1.14,4.00
5.47,-2.16,4.00
4.63,-1.03,4.00
4.59,-1.06,4.00
3.31,-1.50,4.00
4.54,-1.60,5.00
4.66,-1.64,5.00
5.28,-1.33,4.00
4.66,-0.92,4.00
4.20,-1.03,4.00
3.79,-1.55,4.00
6.27,-2.17,5.00
5.08,-1.06,4.00
5.62,-1.56,4.00
4.59,-1.49,5.00
4.96,-2.28,5.00
6.37,-1.44,5.00
6.51,-1.69,5.00
6.50,-1.63,5.00
3.50,-1.68,4.00
4.68,-2.12,5.00
4.17,-0.90,4.00
4.41,-0.85,4.00
5.57,-1.56,4.00
4.74,-1.06,4.00
4.99,-1.13,4.00
3.80,-1.35,4.00
4.56,-1.90,5.00
5.07,-2.23,5.00
6.35,-2.19,5.00
5.32,-2.40,5.00
6.49,-2.07,5.00
6.39,-1.86,5.00
3.90,-1.24,4.00
5.96,-2.36,5.00
4.96,-2.25,5.00
4.71,-1.92,5.00
6.58,-1.64,5.00
5.27,-1.44,4.00
6.40,-1.85,5.00
5.22,-1.32,4.00
4.67,-1.83,5.00
5.85,-2.33,5.00
3.68,-1.13,4.00
5.76,-2.38,5.00
3.62,-2.02,4.00
4.97,-0.92,4.00
4.82,-1.05,4.00
3.59,-1.79,4.00
5.07,-0.93,4.00
4.67,-1.11,4.00
4.98,-1.05,4.00
5.21,-1.08,4.00
4.13,-1.08,4.00
3.91,-1.22,4.00
5.32,-2.62,5.00
3.73,-1.57,4.00
5.37,-2.49,5.00
5.29,-1.41,4.00
5.92,-2.55,5.00
4.66,-2.09,5.00
