feature1,feature2,target
36800.00,-1.05,1.00
68400.00,0.90,1.00
39800.00,1.32,0.00
67400.00,0.48,1.00
1000.00,0.66,0.00
28600.00,0.96,1.00
67000.00,-0.39,1.00
14400.00,0.36,0.00
27000.00,2.31,0.00
15800.00,2.79,0.00
36600.00,-1.74,1.00
51000.00,-1.41,1.00
41000.00,-1.74,1.00
41200.00,0.78,0.00
67400.00,1.14,1.00
52400.00,-1.56,1.00
16800.00,2.07,0.00
43000.00,2.34,0.00
45200.00,-1.53,1.00
20800.00,2.79,0.00
11600.00,2.85,0.00
46800.00,1.83,0.00
70400.00,0.03,1.00
28400.00,2.31,0.00
27200.00,0.09,1.00
44400.00,1.32,0.00
21600.00,2.52,0.00
40400.00,3.21,0.00
28400.00,1.59,1.00
48200.00,-1.44,1.00
43000.00,-1.05,1.00
11200.00,0.72,0.00
62800.00,-0.75,1.00
63600.00,-0.69,1.00
20600.00,3.24,0.00
48800.00,-0.96,1.00
41600.00,-1.38,1.00
11200.00,-0.27,0.00
44800.00,-0.39,0.00
18400.00,2.34,0.00
19200.00,1.59,0.00
12000.00,0.69,0.00
64800.00,1.59,1.00
29200.00,2.61,0.00
31600.00,0.42,1.00
65200.00,0.33,1.00
24800.00,2.91,0.00
38200.00,-1.65,1.00
72000.00,1.50,1.00
61000.00,-0.69,1.00
16600.00,1.95,0.00
18000.00,3.18,0.00
23600.00,1.17,1.00
30600.00,0.87,1.00
46200.00,-1.32,1.00
67000.00,0.93,1.00
53800.00,-0.90,1.00
41000.00,2.19,0.00
50200.00,-1.86,1.00
46600.00,0.51,0.00
27600.00,2.70,0.00
46200.00,-0.06,0.00
68400.00,0.57,1.00
60800.00,-1.32,1.00
37800.00,2.64,0.00
19000.00,3.27,0.00
27000.00,2.79,0.00
41800.00,-1.47,1.00
15800.00,0.60,0.00
57200.00,-0.24,1.00
34400.00,2.22,0.00
65000.00,-0.54,1.00
62600.00,-1.68,1.00
33800.00,-0.09,1.00
44800.00,1.14,0.00
16000.00,1.86,0.00
5200.00,0.33,0.00
15000.00,2.07,0.00
43800.00,-2.13,1.00
54000.00,-1.98,1.00
15800.00,1.68,0.00
68200.00,0.45,1.00
27800.00,2.91,0.00
69600.00,-0.63,1.00
21200.00,3.06,0.00
43000.00,-1.11,1.00
47400.00,1.32,0.00
36800.00,2.73,0.00
48600.00,0.24,0.00
35200.00,-0.60,1.00
33200.00,-0.66,1.00
27000.00,2.88,0.00
68200.00,0.57,1.00
8200.00,1.50,0.00
37400.00,1.83,0.00
65800.00,-0.63,1.00
38600.00,1.95,0.00
34800.00,2.52,0.00
