nombre,edad,altura,peso,posiciones,pie preferido,velocidad,disparo,pase,manejo,defensa,estado fisico
Thiago Alcântara do Nascimento,28,174,70,"CM, CAM, CDM",Derecho,69,74,85,90,69,63
Lorenzo Insigne,28,163,59,"CF, LW, ST",Derecho,89,79,85,91,35,47
Leroy Sané,23,183,75,LW,Izquierdo,95,81,79,86,38,70
Marcos  Aoás Corrêa,25,183,75,"CB, CDM",Derecho,74,41,73,70,86,77
Milan Škriniar,24,187,80,CB,Derecho,69,41,59,66,87,82
Marco Verratti,26,165,60,"CM, CDM",Derecho,65,60,84,90,79,66
Samuel Umtiti,25,182,75,CB,Izquierdo,69,63,69,69,86,82
Joshua Kimmich,24,176,73,"RB, CM, CDM",Derecho,72,69,86,84,79,78
Francisco Román Alarcón Suárez,27,176,79,"CAM, CM, LW",Derecho,71,77,83,91,59,60
Roberto Firmino Barbosa de Oliveira,27,181,76,"CF, ST, CAM",Derecho,77,82,80,87,61,78
Ivan Rakitić,31,184,78,"CM, CDM",Derecho,62,81,86,81,74,70
Miralem Pjanić,29,178,72,"CM, CDM",Derecho,68,68,87,85,75,67
Ángel Fabián Di María Hernández,31,180,69,"RW, LW",Izquierdo,84,79,84,87,48,68
Leonardo Bonucci,32,190,85,CB,Derecho,58,58,69,70,87,79
Philippe Coutinho Correia,27,172,68,"LW, CM",Derecho,79,80,84,90,52,64
Daniel Parejo Muñoz,30,182,74,CM,Derecho,41,80,88,79,70,69
Thomas Müller,29,186,75,"CAM, RM, RW",Derecho,72,83,79,78,55,71
Ciro Immobile,29,185,85,ST,Derecho,80,85,63,81,39,76
Alexandre Lacazette,28,175,73,ST,Derecho,82,85,75,86,40,74
Matthijs de Ligt,19,189,89,CB,Derecho,67,58,66,68,83,84
Frenkie de Jong,22,180,74,"CM, CDM",Derecho,79,64,84,87,76,76
Raphaël Varane,26,191,81,CB,Derecho,83,45,62,63,85,80
Niklas Süle,23,195,97,CB,Derecho,72,42,55,50,86,82
Sergej Milinković-Savić,24,191,76,"CM, CAM",Derecho,67,79,80,83,77,84
Rodrigo Hernández Cascante,23,191,82,"CDM, CM",Derecho,67,68,77,77,82,80
Saúl Ñíguez Esclápez,24,184,77,"CM, LM, RM",Izquierdo,70,78,79,81,78,78
Fábio Henrique Tavares,25,188,78,CDM,Derecho,68,69,78,77,85,83
Andrew Robertson,25,178,64,LB,Izquierdo,85,62,77,79,80,75
José María Giménez de Vargas,24,185,80,CB,Derecho,69,45,52,54,86,82
Clément Lenglet,24,186,81,CB,Izquierdo,75,45,68,65,86,80
Bruno Miguel Borges Fernandes,24,179,69,"CAM, CM",Derecho,77,83,87,85,65,74
Romelu Lukaku,26,190,94,ST,Izquierdo,75,82,73,72,35,84
Kostas Manolas,28,189,83,CB,Derecho,82,25,42,60,86,81
David Olatukunbo Alaba,27,180,78,"LB, CB",Izquierdo,83,73,81,80,80,76
Mauro Emanuel Icardi Rivero,26,181,75,ST,Derecho,75,84,61,77,36,69
Daniel Carvajal Ramos,27,173,73,RB,Derecho,81,47,78,81,82,80
Hakim Ziyech,26,181,65,"CAM, RW",Izquierdo,80,75,86,83,50,66
Zlatan Ibrahimović,37,195,95,ST,Derecho,56,88,77,77,34,78
Alejandro Darío Gómez,31,165,68,"CAM, CF, ST",Derecho,89,78,81,86,39,55
Gonzalo Gerardo Higuaín,31,186,89,ST,Derecho,63,85,71,80,31,71
Blaise Matuidi,32,180,75,"CDM, CM",Izquierdo,75,66,76,78,83,81
Gareth Frank Bale,29,185,82,"RW, LW, ST",Izquierdo,91,87,82,82,58,76
Marcelo Vieira da Silva Júnior,31,174,75,LB,Izquierdo,81,74,83,89,77,79
Axel  Witsel,30,186,81,"CDM, CM",Derecho,73,74,80,79,83,81
Alex Sandro Lobo Silva,28,180,80,"LB, LM",Izquierdo,83,65,77,80,82,82
Iago Aspas Juncal,31,176,67,"ST, RW",Izquierdo,78,84,77,85,35,64
Jorge Resurrección Merodio,27,176,74,"RM, LM, CM",Derecho,68,75,86,82,74,79
James David Rodríguez Rubio,27,180,75,"CAM, CM, RM",Izquierdo,55,86,87,86,50,63
Allan Marques Loureiro,28,175,74,CM,Derecho,75,71,78,84,85,84
Jadon Sancho,19,180,76,"RM, LM",Derecho,88,72,77,90,36,60
Kai Havertz,20,188,83,"CAM, RM",Izquierdo,84,78,79,84,44,65
Ousmane Dembélé,22,178,67,"RW, LW",Izquierdo,93,79,80,87,36,57
João Pedro Cavaco Cancelo,25,182,74,RB,Derecho,90,65,80,84,78,71
Bamidele Alli,23,188,80,"CAM, CM",Derecho,72,81,79,82,71,79
Lucas Hernández,23,182,76,"CB, LB",Izquierdo,81,54,70,71,83,82
Arthur Henrique Ramos Oliveira Melo,22,171,73,CM,Derecho,69,71,81,86,73,70
Memphis Depay,25,176,78,"CF, LW, CAM",Derecho,87,80,81,84,32,78
Leon Goretzka,24,189,79,"CM, CAM, CDM",Derecho,81,77,80,81,75,79
Julian Brandt,23,185,83,"CAM, LM, RM",Derecho,82,78,81,85,40,68
Kingsley Coman,23,179,75,"LM, RM, LW",Derecho,92,76,77,87,29,60
Serge Gnabry,23,175,75,"RM, LM, LW",Derecho,90,82,75,86,43,69
Nabil Fekir,25,173,75,CAM,Izquierdo,78,82,81,88,33,77
Luis Alberto Romero Alconchel,26,183,74,"CAM, CM, CF",Derecho,71,76,84,85,49,59
Alex Nicolao Telles,26,181,71,LB,Izquierdo,85,72,84,81,80,76
Stefan de Vrij,27,189,78,CB,Derecho,66,41,62,68,86,74
Felipe  Anderson Pereira Gomes,26,175,70,LM,Derecho,89,77,79,89,55,61
Képler Laveran Lima Ferreira,36,188,81,CB,Derecho,67,51,57,60,85,85
João Filipe Iria Santos Moutinho,32,170,61,CM,Derecho,56,75,85,82,71,67
Marek Hamšík,31,183,73,CM,Derecho,69,77,83,83,72,69
Sokratis Papastathopoulos,31,186,85,CB,Derecho,72,51,52,60,84,83
Lucas  Pezzini Leiva,32,179,78,CDM,Derecho,62,66,76,78,83,73
Mesut Özil,30,180,76,"CAM, RW",Izquierdo,70,72,86,84,24,56
Javier Martínez Aginaga,30,192,86,"CDM, CB",Derecho,48,55,69,63,86,83
Edin Džeko,33,193,80,ST,Derecho,60,84,71,75,46,73
Georginio Wijnaldum,28,175,69,"CM, CDM",Derecho,77,73,78,84,76,78
Ivan Perišić,30,186,80,LM,Derecho,84,80,78,82,62,77
Mario Mandžukić,33,190,85,"ST, LW",Derecho,68,80,71,75,65,86
Arturo Vidal,32,180,75,"CM, CDM",Derecho,67,79,80,78,85,86
Jérôme Boateng,30,192,90,CB,Derecho,66,50,72,65,84,82
César Azpilicueta Tanco,29,178,76,"RB, CB",Derecho,70,55,77,73,85,76
José María Callejón Bueno,32,178,73,"RM, RW",Derecho,89,78,75,83,47,64
İlkay Gündoğan,28,180,80,"CM, CDM",Derecho,66,74,84,84,72,71
José Paulo Bezzera Maciel Júnior,30,183,80,"CM, CAM, CDM",Derecho,72,81,77,80,78,85
Kyle Walker,29,183,70,RB,Derecho,91,63,76,77,81,81
Sergio Canales Madrazo,28,176,65,"CAM, CM, CF",Izquierdo,78,79,83,81,51,66
Douglas Costa de Souza,28,172,70,"LM, RW, LW",Izquierdo,94,73,79,91,43,61
Luís Miguel Afonso Fernandes,29,177,72,"RM, CM",Derecho,77,77,84,81,63,68
Dušan Tadić,30,181,76,"CAM, LW, ST",Izquierdo,68,80,84,85,41,71
Josip Iličić,31,190,79,"CF, ST",Izquierdo,70,84,84,85,43,67
Riyad Mahrez,28,179,67,"RW, RM",Izquierdo,84,78,79,89,38,59
Edin Višća,29,172,63,"RM, RW",Derecho,88,79,79,83,47,64
Felipe Augusto de Almeida Monteiro,30,190,83,CB,Derecho,64,41,57,60,84,87
Fabián Ruiz Peña,23,189,70,"CM, CDM, CAM",Izquierdo,65,78,78,83,74,69
Alessio Romagnoli,24,188,78,CB,Izquierdo,63,40,55,66,85,79
Giovani Lo Celso,23,177,68,"CM, CAM, CF",Izquierdo,77,78,82,85,65,72
Trent Alexander-Arnold,20,180,69,RB,Derecho,80,62,82,78,78,70
Luka Jović,21,182,85,ST,Derecho,77,82,68,81,29,74
Arkadiusz Milik,25,186,78,ST,Izquierdo,69,85,64,76,39,74
Anthony Martial,23,184,76,"LW, ST, LM",Derecho,89,81,72,86,41,71
Anderson Souza Conceição,25,190,80,"CAM, RW",Izquierdo,77,82,80,81,57,72
Jonathan Tah,23,195,97,CB,Derecho,71,27,59,57,83,81
Corentin Tolisso,24,181,81,"CM, CDM",Derecho,69,77,79,78,76,79
Gonçalo Manuel Ganchinho Guedes,22,179,68,"LM, ST",Derecho,90,79,76,84,36,70
Nicolas Pépé,24,183,73,"RM, RW, ST",Izquierdo,91,81,75,85,33,67
Manuel Obafemi Akanji,23,187,91,CB,Derecho,78,45,68,72,83,80
Marcus Rashford,21,186,70,"ST, LM",Derecho,92,82,73,84,45,77
John Stones,25,188,70,CB,Derecho,68,36,70,72,84,77
Adrien Rabiot,24,192,80,"CM, CDM",Izquierdo,73,74,79,80,77,80
Alejandro Grimaldo García,23,171,69,LB,Izquierdo,85,63,79,84,77,71
Timo Werner,23,180,75,ST,Derecho,92,81,67,83,35,69
Thomas Lemar,23,171,62,"LM, CAM, RM",Izquierdo,83,76,82,85,59,67
Davinson Sánchez,23,187,79,CB,Derecho,74,45,57,66,83,81
Marco Asensio Willemsen,23,182,76,"LW, RW",Izquierdo,81,80,82,84,43,62
Lucas Digne,25,178,74,LB,Izquierdo,78,69,79,79,80,76
Julian Draxler,25,187,77,"CAM, CM, LW",Derecho,77,79,81,86,55,63
Yannick Ferreira Carrasco,25,180,71,LM,Derecho,90,80,75,87,39,64
Borja Iglesias Quintas,26,187,86,ST,Derecho,67,83,63,76,35,82
Wilfried Zaha,26,180,66,"CF, LM, LW",Derecho,91,76,72,88,27,74
Francisco Alcácer García,25,175,72,ST,Derecho,79,84,68,80,36,63
Álvaro Borja Morata Martín,26,189,84,ST,Derecho,81,79,71,80,31,72
Sébastien Haller,25,190,82,ST,Derecho,72,81,62,76,51,82
William Silva de Carvalho,27,187,83,"CDM, CM",Derecho,42,57,77,74,79,85
Federico Bernardeschi,25,185,77,"RM, CAM",Izquierdo,81,75,81,87,60,66
Djené Dakonam Ortega,27,178,72,CB,Derecho,72,37,61,61,83,79
Oscar dos Santos Emboaba Júnior,27,181,71,"CAM, CM",Derecho,74,76,83,81,55,50
Marc Bartra Aregall,28,184,73,CB,Derecho,73,61,73,72,82,74
Pablo Sarabia García,27,174,70,"CAM, CM, RM",Izquierdo,75,76,82,84,57,57
Lucas Rodrigues M. Silva,26,174,70,"CF, RM, LM",Derecho,92,79,76,87,42,66
Florian Thauvin,26,179,70,"RW, RM",Izquierdo,83,80,81,83,41,69
Luiz Frello Filho Jorge,27,180,67,"CM, CDM",Derecho,55,63,84,81,70,73
Vincent Kompany,33,190,85,CB,Derecho,50,53,65,64,84,79
Raúl Albiol Tortajada,33,190,82,CB,Derecho,48,41,61,63,86,72
Fabio Quagliarella,36,180,79,ST,Derecho,69,89,75,80,30,65
Radamel Falcao García Zárate,33,177,72,ST,Derecho,65,82,69,77,43,72
João Miranda de Souza Filho,34,186,78,CB,Derecho,64,49,60,68,84,74
Carlos Alberto Vela Garrido,30,177,77,"RW, LW, CAM",Izquierdo,80,82,78,84,31,67
Ezequiel Marcelo Garay,32,189,90,CB,Derecho,43,60,67,62,82,81
Radja Nainggolan,31,176,77,"CAM, CM",Derecho,72,79,78,83,83,82
Éver Maximiliano David Banega,31,174,71,"CDM, CM, CAM",Derecho,61,73,84,82,77,70
Diego da Silva Costa,30,188,86,ST,Derecho,73,82,64,75,49,85
Sami Khedira,32,189,90,"CM, CDM",Derecho,51,74,78,77,80,80
David Luiz Moreira Marinho,32,189,86,CB,Derecho,61,65,74,70,82,77
Max Kruse,31,180,76,"CF, ST, CAM",Izquierdo,66,83,83,83,45,70
Jordan Brian Henderson,29,182,80,"CDM, CM",Derecho,64,70,83,77,78,80
Gylfi Þór Sigurðsson,29,186,77,CAM,Derecho,56,81,84,80,57,69
Aaron Ramsey,28,183,76,"CM, CAM",Derecho,68,77,79,80,68,74
Asier Illarramendi Andonegi,29,179,75,"CDM, CM",Derecho,54,71,80,79,80,71
Daley Blind,29,180,72,"CDM, CB, LB",Izquierdo,54,65,80,77,82,74
Nicolás Hernán Otamendi,31,183,81,CB,Derecho,56,57,63,59,83,78
Juan Cuadrado,31,179,72,"RM, RW",Derecho,91,72,77,88,66,67
Idrissa Gana Gueye,29,174,66,CDM,Derecho,73,59,70,78,85,78
Kevin Kampl,28,178,67,"CM, CAM, CDM",Derecho,76,67,80,86,63,62
Rodrigo Moreno Machado,28,182,77,ST,Izquierdo,90,80,74,82,44,70
Charles Mariano Aránguiz Sandoval,30,171,70,"CM, CDM",Derecho,63,72,82,81,74,73
Wissam Ben Yedder,28,170,68,ST,Derecho,84,82,77,85,39,61
Francesco Acerbi,31,192,88,CB,Izquierdo,56,50,61,63,86,82
Danilo Luís Hélio Pereira,27,188,83,"CDM, CM",Derecho,65,63,72,74,82,85
Andrej Kramarić,28,177,73,"ST, CAM, LW",Derecho,73,85,73,85,30,71
Lourival Adnan Beretta Barbosa,27,188,83,"ST, CF",Derecho,81,84,62,72,33,75
Josué Durval Chiamulera Vaz,27,185,80,CB,Derecho,80,43,56,64,85,77
Ronaldo Jailson Cabrais Petri,27,177,75,"RW, CAM",Derecho,87,77,83,84,35,72
Mikel Oyarzabal Ugarte,22,181,78,"LW, LM, RW",Izquierdo,75,82,79,83,39,61
Leon Bailey Butler,21,178,79,"LW, RW",Izquierdo,91,77,75,84,33,64
Gabriel Fernando de Jesus,22,175,73,ST,Derecho,85,80,72,86,39,71
Mateo Kovačić,25,176,78,CM,Derecho,76,68,81,86,67,70
Andrea Belotti,25,181,72,ST,Derecho,77,81,57,77,41,82
Naby Keïta,24,172,64,"CM, CDM",Derecho,71,73,76,88,65,66
Lucas Torreira Di Pascua,23,168,64,"CDM, CM",Derecho,75,67,77,80,81,75
Rúben Diogo da Silva Neves,22,180,80,CM,Derecho,62,74,83,76,70,73
Presnel Kimpembe,23,189,80,CB,Izquierdo,75,39,67,67,81,83
Steven Bergwijn,21,178,78,"RW, CAM, LW",Derecho,89,75,76,85,40,73
Nélson Cabral Semedo,25,177,67,RB,Derecho,92,57,69,81,77,75
Daniele Rugani,24,190,84,CB,Derecho,64,39,55,64,85,74
Ángel Correa,24,171,68,"RM, ST",Derecho,83,80,75,86,54,65
Iñaki Williams Arthuer,25,186,79,"ST, RW",Derecho,94,80,72,80,41,82
Hirving Rodrigo Lozano Bahena,23,175,70,"RW, LW",Derecho,93,76,73,83,41,66
Gelson Dany Batalha Martins,24,173,74,"RM, RW",Derecho,95,71,74,86,47,61
Thomas Partey,26,185,77,"CM, CDM, RM",Derecho,73,72,77,77,79,84
Kerem Demirbay,25,182,72,CM,Izquierdo,67,74,82,84,64,70
Joël Andre Job Matip,27,194,90,CB,Derecho,61,46,68,67,83,76
Jesús Joaquín Fernández Sáez,25,176,70,"RW, CF",Izquierdo,78,76,83,87,33,53
Stefan Savić,28,187,79,CB,Derecho,55,35,54,56,84,72
Antonio Rüdiger,26,190,85,CB,Derecho,72,43,67,63,82,78
Ricardo Barbosa Pereira,25,175,70,"RB, RM",Derecho,86,64,77,81,79,73
Nicolás Alejandro Tagliafico,26,172,65,LB,Izquierdo,81,57,72,76,80,81
Iker Muniain Goñi,26,170,66,"CAM, LW",Derecho,80,72,77,87,51,58
Mario Götze,27,176,75,"CF, CAM, CM",Derecho,71,78,85,86,56,70
Thomas Delaney,27,182,79,"CDM, CM",Izquierdo,77,73,74,75,83,82
Willian José da Silva,27,189,93,ST,Derecho,69,82,68,75,40,81
Sergio Roberto Carnicer,27,178,68,"RB, RM, CM",Derecho,78,63,81,78,77,73
Nico Schulz,26,181,83,"LWB, LM, LB",Izquierdo,90,52,76,80,74,76
Kevin Volland,26,179,83,"ST, RW, LW",Izquierdo,76,84,79,79,41,83
José Ignacio Fernández Iglesias,29,180,76,"CB, LB, RB",Derecho,74,37,66,64,81,79
Gabriel Armando de Abreu,28,187,79,CB,Derecho,71,49,69,65,83,81
Jérôme Roussillon,26,175,80,LB,Izquierdo,89,65,76,80,78,78
Harry Maguire,26,194,100,CB,Derecho,50,53,64,69,81,84
Thorgan Hazard,26,175,71,"RM, LM, CF",Derecho,82,77,80,86,47,64
Emil Forsberg,27,179,74,"CAM, LM",Derecho,70,71,81,83,33,62
Filip Kostić,26,184,82,"LM, LWB",Izquierdo,87,76,77,81,67,78
Matteo Politano,25,171,67,"RM, ST",Izquierdo,84,77,78,84,42,57
Rafael Alexandre Fernandes Ferreira da Silva,26,172,66,"LM, RM",Derecho,93,71,74,86,50,52
Daniele De Rossi,35,184,83,CDM,Derecho,59,64,73,69,85,77
Aritz Aduriz Zubeldia,38,182,78,ST,Derecho,61,82,64,75,49,74
Jesús Navas González,33,170,60,"RM, RB",Derecho,87,69,77,83,69,53
Santiago Cazorla González,34,168,65,"CM, CDM, LM",Derecho,56,73,85,83,65,58
Héctor Miguel Herrera López,29,185,80,CM,Derecho,72,75,75,76,78,81
Lucas Rodrigo Biglia,33,178,63,"CDM, CM",Derecho,55,63,81,81,77,68
Juan Manuel Mata García,31,170,63,"CAM, RM",Izquierdo,62,74,83,83,36,47
Olivier Giroud,32,193,92,ST,Izquierdo,46,81,71,72,42,79
Simon Thorup Kjær,30,191,84,CB,Derecho,65,55,63,55,81,78
Willian Borges da Silva,30,175,78,"RW, LW",Derecho,85,78,80,85,49,60
Vedran Ćorluka,33,192,84,CB,Derecho,58,49,65,67,81,82
Marko Arnautović,30,192,83,ST,Derecho,80,79,77,82,47,82
Alexis Alejandro Sánchez Sánchez,30,169,62,"LW, LM",Derecho,81,78,77,85,44,73
Giuliano Victor de Paula,29,172,68,CAM,Derecho,81,77,79,83,46,75
Aleksandar Kolarov,33,187,81,LB,Izquierdo,69,74,81,76,82,79
Mario  Barwuah Balotelli,28,189,88,ST,Derecho,76,82,73,79,24,76
Marlos Romero Bonfim,31,174,69,"RM, CAM",Izquierdo,83,78,79,86,46,73
Taison Barcellos Freda,31,172,64,"CAM, LM",Derecho,92,79,75,86,47,69
Bas Dost,30,196,89,ST,Derecho,50,82,57,66,45,80
Giacomo Bonaventura,29,181,75,"CM, LW",Derecho,73,77,82,82,72,69
Pedro Eliezer Rodríguez Ledesma,31,169,65,"RW, LW",Derecho,75,77,77,84,43,56
Luuk de Jong,28,188,86,ST,Derecho,56,79,71,69,51,78
Stephan El Shaarawy,26,178,72,LW,Derecho,87,78,71,84,42,60
Ander Herrera Agüera,29,182,73,"CM, CDM",Derecho,70,72,78,80,82,77
Xherdan Shaqiri,27,169,72,"RW, RM",Izquierdo,80,77,81,85,46,69
Mário Figueira Fernandes,28,187,80,"RWB, RM",Derecho,82,60,74,79,81,79
Sebastián Coates Nión,28,196,92,CB,Derecho,54,43,55,59,83,85
Cédric Bakambu,28,182,74,ST,Derecho,90,81,72,80,35,76
Thomas Meunier,27,191,90,"RB, RM",Derecho,79,75,77,75,78,84
Karim Bellarabi,29,184,81,RW,Derecho,92,76,74,85,34,71
Jesse Lingard,26,175,62,"CAM, RW",Derecho,80,78,76,83,58,72
Quincy Anton Promes,27,174,72,"LW, RW",Derecho,91,79,79,83,40,67
Jamie Vardy,32,179,74,ST,Derecho,88,81,65,74,55,75
Duván Zapata,28,189,88,ST,Derecho,71,81,56,76,37,83
José Luis Morales Nogales,31,180,70,"ST, LM",Derecho,89,81,76,85,58,69
Juan Everton Mestres de Mesquita,35,181,82,"CB, CDM",Derecho,71,61,57,62,82,80
Rosberto J. Dourado Santos,31,175,70,"CDM, CM, CAM",Derecho,81,57,74,77,82,74
Egidio Maestre Schetino,27,185,80,CB,Derecho,80,43,56,65,83,76
José María Sildero,27,177,75,"CAM, RM",Derecho,81,77,81,82,40,71
Lautaro Martínez,21,174,81,ST,Derecho,81,77,68,82,40,83
Houssem Aouar,21,175,70,CM,Derecho,79,71,79,83,66,67
Tanguy NDombèlé Alvaro,22,181,76,"CM, CDM",Derecho,80,65,78,87,70,78
Éder Gabriel Militão,21,186,78,"CB, RB",Derecho,79,50,66,71,81,81
Donny van de Beek,22,184,74,"CAM, CM",Derecho,71,78,77,79,71,79
Victor Nilsson Lindelöf,24,187,80,CB,Derecho,74,50,72,72,82,78
Daniel Ceballos Fernández,22,179,70,"CM, LM, CDM",Derecho,69,67,79,84,68,68
Pablo Fornals Malla,23,178,67,"CAM, CM, LM",Derecho,67,76,79,80,71,68
Emre Can,25,184,82,"CM, CDM",Derecho,70,68,77,79,81,84
José Luís Gayà Peña,24,172,66,LB,Izquierdo,85,61,77,80,75,69
David Neres Campos,22,175,66,"LW, RW, CAM",Izquierdo,87,73,73,87,36,65
Piotr Zieliński,25,180,75,"CM, LM",Derecho,81,72,81,84,70,61
Granit Xhaka,26,185,82,"CM, CDM",Izquierdo,51,67,81,71,69,78
Rafael Alcântara do Nascimento,26,174,71,"CAM, CM, RW",Izquierdo,67,76,79,84,68,60
Geoffrey Kondogbia,26,188,80,"CM, CDM",Izquierdo,69,73,76,79,78,88
Marcel Sabitzer,25,177,77,"CAM, CM",Derecho,74,80,76,80,57,77
Luke Shaw,23,181,75,LB,Izquierdo,82,54,75,80,80,78
Josef Alexander Martínez,26,170,69,ST,Derecho,89,79,61,79,25,73
Abdoulaye Doucouré,26,184,76,"CDM, CM",Derecho,69,74,73,77,79,82
Onyinye Wilfred Ndidi,22,183,74,"CDM, CM",Derecho,71,62,67,74,83,82
Willi Orban,26,186,83,CB,Derecho,52,37,52,56,82,80
Alassane Plea,26,181,79,"ST, LW",Derecho,76,81,76,78,39,74
Yussuf Yurary Poulsen,25,193,78,ST,Derecho,83,74,67,75,56,82
Ryan Fraser,25,163,70,LM,Derecho,90,73,78,83,46,61
Matthias Ginter,25,191,89,"CB, CDM",Derecho,62,58,69,65,82,77
Raphaël Guerreiro,25,170,71,"LM, LB, CM",Izquierdo,73,75,82,85,66,57
João Mário Naval Costa Eduardo,26,179,73,"CAM, CM",Derecho,69,69,80,83,64,67
Thiago Henrique Mendes Ribeiro,27,177,80,"CDM, CM",Derecho,78,70,78,79,77,74
Armando Izzo,27,183,78,CB,Derecho,68,33,48,65,83,75
Marcelo Brozović,26,181,68,"CDM, CM",Derecho,64,73,79,80,76,73
Adem Ljajić,27,182,74,"CAM, LW",Derecho,78,75,80,84,37,61
Jesús Corona,26,173,62,"RM, RB",Derecho,83,70,75,88,62,54
Luka Milivojević,28,186,80,"CDM, CM",Derecho,55,67,76,67,78,84
Gerard Moreno Balagueró,27,180,77,"ST, CF",Izquierdo,76,79,66,78,45,69
Wout Weghorst,26,197,84,ST,Derecho,63,80,59,69,39,83
Ricardo Andrade Quaresma Bernardo,35,175,67,"RM, LM",Derecho,77,73,82,86,24,63
Jérémy Mathieu,35,189,84,CB,Izquierdo,68,64,73,62,83,81
James Philip Milner,33,175,70,"CM, LB",Derecho,61,70,82,77,77,78
Lisandro López,36,174,72,ST,Derecho,75,82,73,80,50,70
Bafétimbi Gomis,33,184,77,ST,Derecho,70,82,66,75,36,74
Moussa Sidi Yaya Dembélé,31,185,85,"CM, CAM, CDM",Izquierdo,73,68,77,87,77,80
Francesc Fàbregas i Soler,32,179,77,"CM, CDM",Derecho,53,73,87,77,60,56
Laurent Koscielny,33,186,75,CB,Derecho,60,43,63,64,82,74
Jardel Nivaldo Vieira,33,192,86,CB,Derecho,55,42,54,53,82,79
Renato  Soares de Oliveira Augusto,31,186,86,"CM, CAM, CDM",Derecho,67,73,79,79,71,72
José Miguel da Rocha Fonte,35,187,81,CB,Derecho,36,38,54,60,81,76
José Andrés Guardado Hernández,32,169,67,"CM, CDM, LM",Izquierdo,68,68,81,82,72,68
Łukasz Piszczek,34,184,79,RB,Derecho,77,68,75,73,82,78
Kévin Gameiro,32,172,70,ST,Derecho,85,79,74,77,43,67
Dimitri  Payet,32,175,77,"CAM, LW",Derecho,71,77,82,81,38,67
